"BehaviorSpace results (NetLogo 5.0.5)"
"/home/joel/Dropbox/Research/Philosophy of Science/Thinking with Models/Thinking-with-Models/autograde_sample/3/hw1_3.nlogo"
"prob1"
"08/21/2015 02:56:35:946 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-turtles","num-links","num-colored-patches","[step]","count turtles","[xcor] of turtles","[ycor] of turtles"
"1","10","50","300","0","1","[0]","[0]"
"1","10","50","300","1","1","[0]","[10]"
"1","10","50","300","2","1","[0]","[-13]"
"1","10","50","300","3","1","[0]","[-3]"
"1","10","50","300","4","1","[0]","[7]"
"1","10","50","300","5","1","[0]","[-16]"
"1","10","50","300","6","1","[0]","[-6]"
"1","10","50","300","7","1","[0]","[4]"
"1","10","50","300","8","1","[0]","[14]"
"1","10","50","300","9","1","[0]","[-9]"
"1","10","50","300","10","1","[0]","[1]"
"1","10","50","300","11","1","[0]","[11]"
"1","10","50","300","12","1","[0]","[-12]"
"1","10","50","300","13","1","[0]","[-2]"
"1","10","50","300","14","1","[0]","[8]"
"1","10","50","300","15","1","[0]","[-15]"
"1","10","50","300","16","1","[0]","[-5]"
"1","10","50","300","17","1","[0]","[5]"
"1","10","50","300","18","1","[0]","[15]"
"1","10","50","300","19","1","[0]","[-8]"
"1","10","50","300","20","1","[0]","[2]"
"1","10","50","300","21","1","[0]","[12]"
"1","10","50","300","22","1","[0]","[-11]"
"1","10","50","300","23","1","[0]","[-1]"
"1","10","50","300","24","1","[0]","[9]"
"1","10","50","300","25","1","[0]","[-14]"
"1","10","50","300","26","1","[0]","[-4]"
"1","10","50","300","27","1","[0]","[6]"
"1","10","50","300","28","1","[0]","[16]"
"1","10","50","300","29","1","[0]","[-7]"
"1","10","50","300","30","1","[0]","[3]"
"1","10","50","300","31","1","[0]","[13]"
"1","10","50","300","32","1","[0]","[-10]"
"1","10","50","300","33","1","[0]","[0]"
"1","10","50","300","34","1","[0]","[10]"
"1","10","50","300","35","1","[0]","[-13]"
"1","10","50","300","36","1","[0]","[-3]"
"1","10","50","300","37","1","[0]","[7]"
"1","10","50","300","38","1","[0]","[-16]"
"1","10","50","300","39","1","[0]","[-6]"
"1","10","50","300","40","1","[0]","[4]"
"1","10","50","300","41","1","[0]","[14]"
"1","10","50","300","42","1","[0]","[-9]"
"1","10","50","300","43","1","[0]","[1]"
"1","10","50","300","44","1","[0]","[11]"
"1","10","50","300","45","1","[0]","[-12]"
"1","10","50","300","46","1","[0]","[-2]"
"1","10","50","300","47","1","[0]","[8]"
"1","10","50","300","48","1","[0]","[-15]"
"1","10","50","300","49","1","[0]","[-5]"
"1","10","50","300","50","1","[0]","[5]"
"1","10","50","300","51","1","[0]","[15]"
"1","10","50","300","52","1","[0]","[-8]"
"1","10","50","300","53","1","[0]","[2]"
"1","10","50","300","54","1","[0]","[12]"
"1","10","50","300","55","1","[0]","[-11]"
"1","10","50","300","56","1","[0]","[-1]"
"1","10","50","300","57","1","[0]","[9]"
"1","10","50","300","58","1","[0]","[-14]"
"1","10","50","300","59","1","[0]","[-4]"
"1","10","50","300","60","1","[0]","[6]"
"1","10","50","300","61","1","[0]","[16]"
"1","10","50","300","62","1","[0]","[-7]"
"1","10","50","300","63","1","[0]","[3]"
"1","10","50","300","64","1","[0]","[13]"
"1","10","50","300","65","1","[0]","[-10]"
"1","10","50","300","66","1","[0]","[0]"
"1","10","50","300","67","1","[0]","[10]"
"1","10","50","300","68","1","[0]","[-13]"
"1","10","50","300","69","1","[0]","[-3]"
"1","10","50","300","70","1","[0]","[7]"
"1","10","50","300","71","1","[0]","[-16]"
"1","10","50","300","72","1","[0]","[-6]"
"1","10","50","300","73","1","[0]","[4]"
"1","10","50","300","74","1","[0]","[14]"
"1","10","50","300","75","1","[0]","[-9]"
"1","10","50","300","76","1","[0]","[1]"
"1","10","50","300","77","1","[0]","[11]"
"1","10","50","300","78","1","[0]","[-12]"
"1","10","50","300","79","1","[0]","[-2]"
"1","10","50","300","80","1","[0]","[8]"
"1","10","50","300","81","1","[0]","[-15]"
"1","10","50","300","82","1","[0]","[-5]"
"1","10","50","300","83","1","[0]","[5]"
"1","10","50","300","84","1","[0]","[15]"
"1","10","50","300","85","1","[0]","[-8]"
"1","10","50","300","86","1","[0]","[2]"
"1","10","50","300","87","1","[0]","[12]"
"1","10","50","300","88","1","[0]","[-11]"
"1","10","50","300","89","1","[0]","[-1]"
"1","10","50","300","90","1","[0]","[9]"
"1","10","50","300","91","1","[0]","[-14]"
"1","10","50","300","92","1","[0]","[-4]"
"1","10","50","300","93","1","[0]","[6]"
"1","10","50","300","94","1","[0]","[16]"
"1","10","50","300","95","1","[0]","[-7]"
"1","10","50","300","96","1","[0]","[3]"
"1","10","50","300","97","1","[0]","[13]"
"1","10","50","300","98","1","[0]","[-10]"
"1","10","50","300","99","1","[0]","[0]"
"1","10","50","300","100","1","[0]","[10]"
